Date,Overseas,Known Local,Unknown Local (Community),Under investigation,
26/1/20,3,0,0,0,0
27/1/20,0,0,0,0,0
28/1/20,1,0,0,0,0
29/1/20,0,0,0,0,0
30/1/20,0,0,0,0,0
31/1/20,0,0,0,0,0
1/2/20,0,0,0,0,0
2/2/20,0,0,0,0,0
3/2/20,0,0,0,0,0
4/2/20,0,0,0,0,0
5/2/20,0,0,0,0,0
6/2/20,0,0,0,0,0
7/2/20,0,0,0,0,0
8/2/20,0,0,0,0,0
9/2/20,0,0,0,0,0
10/2/20,0,0,0,0,0
11/2/20,0,0,0,0,0
12/2/20,0,0,0,0,0
13/2/20,0,0,0,0,0
14/2/20,0,0,0,0,0
15/2/20,0,0,0,0,0
16/2/20,0,0,0,0,0
17/2/20,0,0,0,0,0
18/2/20,0,0,0,0,0
19/2/20,0,0,0,0,0
20/2/20,0,0,0,0,0
21/2/20,0,0,0,0,0
22/2/20,0,0,0,0,0
23/2/20,0,0,0,0,0
24/2/20,0,0,0,0,0
25/2/20,0,0,0,0,0
26/2/20,0,0,0,0,0
27/2/20,0,0,0,0,0
28/2/20,0,0,0,0,0
29/2/20,0,0,0,0,0
1/3/20,0,0,0,0,0
2/3/20,2,0,0,0,0
3/3/20,1,1,1,0,2
4/3/20,5,1,0,0,1
5/3/20,2,4,0,0,4
6/3/20,2,2,0,0,2
7/3/20,1,5,1,0,6
8/3/20,0,2,0,0,2
9/3/20,2,3,1,0,4
10/3/20,5,7,1,0,8
11/3/20,4,2,0,0,2
12/3/20,7,4,5,0,9
13/3/20,9,4,0,0,4
14/3/20,13,3,3,0,6
15/3/20,12,5,2,0,7
16/3/20,15,17,5,0,22
17/3/20,17,9,3,0,12
18/3/20,43,19,2,0,21
19/3/20,19,19,5,0,24
20/3/20,43,9,4,0,13
21/3/20,56,24,8,0,32
22/3/20,76,28,15,0,43
23/3/20,93,20,6,0,26
24/3/20,142,27,6,0,33
25/3/20,135,41,12,0,53
26/3/20,147,39,18,0,57
27/3/20,126,41,15,0,56
28/3/20,132,47,22,0,69
29/3/20,95,34,12,0,46
30/3/20,74,29,17,0,46
31/3/20,62,14,13,0,27
1/4/20,67,36,23,0,59
2/4/20,50,40,32,0,72
3/4/20,33,30,26,0,56
4/4/20,52,32,20,0,52
5/4/20,27,27,15,0,42
6/4/20,34,19,8,0,27
7/4/20,18,14,6,0,20
8/4/20,24,14,6,0,20
9/4/20,10,23,9,0,32
10/4/20,23,14,4,0,18
11/4/20,15,10,5,0,15
12/4/20,8,7,3,0,10
13/4/20,2,5,2,0,7
14/4/20,4,3,0,0,3
15/4/20,4,12,3,0,15
16/4/20,4,16,1,0,17
17/4/20,6,16,0,0,16
18/4/20,4,3,8,0,11
19/4/20,0,11,6,0,17
20/4/20,0,4,3,0,7
21/4/20,0,1,1,0,2
22/4/20,0,5,1,0,6
23/4/20,1,1,1,0,2
24/4/20,1,3,4,0,7
25/4/20,2,11,1,0,12
26/4/20,0,3,0,0,3
27/4/20,1,0,0,0,0
28/4/20,0,5,0,0,5
29/4/20,5,2,3,0,5
30/4/20,1,1,1,0,2
1/5/20,8,6,1,0,7
2/5/20,1,1,0,0,1
3/5/20,0,0,2,0,2
4/5/20,0,0,1,0,1
5/5/20,0,3,1,0,4
6/5/20,2,2,0,0,2
7/5/20,0,3,0,0,3
8/5/20,0,2,0,0,2
9/5/20,1,3,0,0,3
10/5/20,1,0,0,0,0
11/5/20,1,0,0,0,0
12/5/20,0,0,0,0,0
13/5/20,0,2,3,0,5
14/5/20,3,0,1,0,1
15/5/20,2,1,0,0,1
16/5/20,2,0,0,0,0
17/5/20,0,0,0,0,0
18/5/20,1,0,0,0,0
19/5/20,2,0,0,0,0
20/5/20,4,0,0,0,0
21/5/20,0,0,1,0,1
22/5/20,3,0,0,0,0
23/5/20,0,0,0,0,0
24/5/20,1,0,0,0,0
25/5/20,1,0,0,0,0
26/5/20,2,0,0,0,0
27/5/20,0,0,0,0,0
28/5/20,1,0,0,0,0
29/5/20,2,0,0,0,0
30/5/20,1,0,0,0,0
31/5/20,2,0,0,0,0
1/6/20,5,0,0,0,0
2/6/20,4,0,0,0,0
3/6/20,1,0,0,0,0
4/6/20,2,0,0,0,0
5/6/20,3,0,0,0,0
6/6/20,0,0,0,0,0
7/6/20,1,0,0,0,0
8/6/20,3,0,0,0,0
9/6/20,1,0,0,0,0
10/6/20,3,0,0,0,0
11/6/20,0,0,0,0,0
12/6/20,2,0,1,0,1
13/6/20,3,0,0,0,0
14/6/20,8,1,0,0,1
15/6/20,5,0,1,0,1
16/6/20,0,0,0,0,0
17/6/20,0,0,0,0,0
18/6/20,2,0,0,0,0
19/6/20,7,0,0,0,0
20/6/20,1,0,0,0,0
21/6/20,6,0,0,0,0
22/6/20,1,0,0,0,0
23/6/20,1,0,0,0,0
24/6/20,10,0,0,0,0
25/6/20,3,0,1,0,1
26/6/20,4,0,2,0,2
27/6/20,5,0,0,0,0
28/6/20,10,0,0,0,0
29/6/20,3,0,0,0,0
30/6/20,6,0,0,0,0
1/7/20,11,0,0,0,0
2/7/20,6,0,0,0,0
